url,title,status,proposed_destination,action
https://painmgmtgroup.com/home-video-page-2/,Home Video Page – Pain Management Group,200,,retire
https://painmgmtgroup.com/internal-team-opportunities/,Internal Team Opportunities – Pain Management Group,200,/about-us/careers/,301
https://painmgmtgroup.com/our-clients/,Our Clients – Pain Management Group,200,/results/testimonials/,301
https://painmgmtgroup.com/our-partners/,Our Partners – Pain Management Group,200,/our-partners/,keep
https://painmgmtgroup.com/pain-education/,Pain Education – Pain Management Group,200,/pain-education/,keep
https://painmgmtgroup.com/pain-education/basivertebral-nerve-ablation-bvn/,Basivertebral Nerve Ablation (BVN) – Pain Management Group,200,/pain-education/basivertebral-nerve-ablation-bvn/,keep
https://painmgmtgroup.com/pain-education/botox-injections-for-chronic-migraine/,BOTOX® Injections for Chronic Migraine – Pain Management Group,200,/pain-education/botox-injections-for-chronic-migraine/,keep
https://painmgmtgroup.com/pain-education/bursitis-of-the-hip-trochanteric-bursitis/,Bursitis of the Hip (Trochanteric Bursitis) – Pain Management Group,200,/pain-education/bursitis-of-the-hip-trochanteric-bursitis/,keep
https://painmgmtgroup.com/pain-education/caudal-epidural-steroid-injection/,Caudal Epidural Steroid Injection – Pain Management Group,200,/pain-education/caudal-epidural-steroid-injection/,keep
https://painmgmtgroup.com/pain-education/cervical-epidural-steroid-injection/,Cervical Epidural Steroid Injection – Pain Management Group,200,/pain-education/cervical-epidural-steroid-injection/,keep
https://painmgmtgroup.com/pain-education/cervical-facet-radiofrequency-neurotomy/,Cervical Facet Radiofrequency Neurotomy – Pain Management Group,200,/pain-education/cervical-facet-radiofrequency-neurotomy/,keep
https://painmgmtgroup.com/pain-education/cervical-radiculopathy/,Cervical Radiculopathy – Pain Management Group,200,/pain-education/cervical-radiculopathy/,keep
https://painmgmtgroup.com/pain-education/cervical-transforaminal-epidural-steroid-injection/,Cervical Transforaminal Epidural Steroid Injection – Pain Management Group,200,/pain-education/cervical-transforaminal-epidural-steroid-injection/,keep
https://painmgmtgroup.com/pain-education/complex-regional-pain-syndrome-crps/,Complex Regional Pain Syndrome (CRPS) – Pain Management Group,200,/pain-education/complex-regional-pain-syndrome-crps/,keep
https://painmgmtgroup.com/pain-education/genicular-nerve-ablation-rf-neurotomy/,Genicular Nerve Ablation (RF Neurotomy) – Pain Management Group,200,/pain-education/genicular-nerve-ablation-rf-neurotomy/,keep
https://painmgmtgroup.com/pain-education/joint-injection/,Hip Joint Injection – Pain Management Group,200,/pain-education/joint-injection/,keep
https://painmgmtgroup.com/pain-education/lumbar-epidural-steroid-injection/,Lumbar Epidural Steroid Injection – Pain Management Group,200,/pain-education/lumbar-epidural-steroid-injection/,keep
https://painmgmtgroup.com/pain-education/lumbar-radiculopathy-sciatica/,Lumbar Radiculopathy (Sciatica) – Pain Management Group,200,/pain-education/lumbar-radiculopathy-sciatica/,keep
https://painmgmtgroup.com/pain-education/lumbar-sympathetic-block/,Lumbar Sympathetic Block – Pain Management Group,200,/pain-education/lumbar-sympathetic-block/,keep
https://painmgmtgroup.com/pain-education/lumbar-transforaminal-epidural-steroid-injection/,Lumbar Transforaminal Epidural Steroid Injection – Pain Management Group,200,/pain-education/lumbar-transforaminal-epidural-steroid-injection/,keep
https://painmgmtgroup.com/pain-education/medial-branch-block/,Medial Branch Block – Pain Management Group,200,/pain-education/medial-branch-block/,keep
https://painmgmtgroup.com/pain-education/mild-procedure-vertos-medical/,Mild® Procedure (Vertos Medical) – Pain Management Group,200,/pain-education/mild-procedure-vertos-medical/,keep
https://painmgmtgroup.com/pain-education/opioid-misuse/,Opioid Misuse – Pain Management Group,200,/pain-education/opioid-misuse/,keep
